CodigoAntiguo;IdDoc;CodigoNuevo;Gerencia;Area;EstadoDocumento;Aprobador;Elaborador;FechaVigencia;UltimaRevision;NroRevision;Revisor ;TipoDocumento;Validador;Verificador;Confidencial;Distribuidor;FechaAprobacion;FechaEdicion;NroEdicion;Pais;Titulo
ALM-P-002;;AMP-P-002;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;lfernandez@exsa.net;PROCEDIMIENTO;;;;;30/05/2017;30/05/2017;2;Perú;DESPACHO DE MATERIAS PRIMAS E INSUMOS
ALM-P-007;;AMP-P-003;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;lfernandez@xsa.net;PROCEDIMIENTO;;;;;9/06/2017;9/06/2017;1;Perú;CONTROL DE INSUMOS QUIMICOS Y BIENES FISCALIZADOS
COG-MA-007;;COG-MA-007;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;MANUAL;;;;;9/06/2017;9/06/2017;1;Perú;MANUAL PARA EL PROCESO DE HOMOLOGACIÓN
CTR-F-001;;CTR-F-001;Administración y Finanzas ;Contraloría ;Aprobado;;;;;0;mkaneko@exsa.net;FORMATO;;;;;22/09/2014;22/09/2014;3;Perú;SOLICITUD DE ADELANTO DE VIAJE 
CCE-TA-41;;ASE-TA-001;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;TABLA;;;;;26/12/2016;26/12/2016;1;Perú;CORRECCION DEL PUNTO DE CRISTALIZACION EN TANQUE MODULO
AYF-I-001;;CTR-I-004;Administración y Finanzas ;Contraloría ;Aprobado;;;;;0;mkaneko@exsa.net;INSTRUCCIÓN;;;;;9/01/2017;9/01/2017;1;Perú;VENTA DE DESECHOS Y ACTIVOS 
MEX-I-005;;MAN-I-001;Operaciones ;Mantenimiento Explosivos;Aprobado;;;;;0;lvelasco@exsa.net;INSTRUCCIÓN;;;;;19/12/2016;19/12/2016;1;Perú;Bloqueo y Etiquetado
MEX-TA-001;;MAN-TA-001;Operaciones ;Mantenimiento Explosivos;Aprobado;;;;;0;lvelasco@exsa.net;TABLA;;;;;17/01/2016;17/01/2016;1;Perú;MATRIZ DE GESTIÓN DE TERCEROS
PYC-P-003;;PYC-P-003;Administración y Finanzas ;Planeamiento y Control Financiero;Aprobado;;;;;0;mkaneko@exsa.net;PROCEDIMIENTO;;;;;1/09/2014;1/09/2014;1;Perú;ELABORACIÓN Y CONTROL DEL PRESUPUESTO
SEG-F-466;;SEG-F-466;Sustentabilidad ;Seguridad ;Aprobado;;;;;0;ppacora@exsa.net;FORMATO;;;;;22/08/2016;22/08/2016;1;Perú;ACTA DE REUNIÓN DEL COMITÉ DE SEGURIDAD Y SALUD EN EL TRABAJO
SEG-F-472;;SEG-F-472;Sustentabilidad ;Seguridad ;Aprobado;;;;;0;ppacora@exsa.net;FORMATO;;;;;7/02/2017;7/02/2017;1;Perú;CONTROL DE EQUIPO DE PROTECCION PERSONAL 
SEG-F-477;;SEG-F-477;Sustentabilidad ;Seguridad ;Aprobado;;;;;0;ppacora@exsa.net;FORMATO;;;;;9/06/2017;9/06/2017;1;Perú;CONTROL DE EQUIPOS, HERRAMIENTAS Y MATERIALES
